search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
Balsamic Vinegar,257305,Woolworths Vinegar Balsamic Glaze,Woolworths,4,$1.86 / 100ML,215mL,https://cdn0.woolworths.media/content/wowproductimages/small/257305.jpg,https://www.woolworths.com.au/shop/productdetails/257305
Balsamic Vinegar,700635,Macro Organic Vinegar Balsamic 4 Leaf,Macro,6,$2.40 / 100ML,250mL,https://cdn0.woolworths.media/content/wowproductimages/small/700635.jpg,https://www.woolworths.com.au/shop/productdetails/700635
Balsamic Vinegar,233996,Mazzetti Vinegar Balsamic Glaze,Mazzetti,7.25,$3.37 / 100ML,215mL,https://cdn0.woolworths.media/content/wowproductimages/small/233996.jpg,https://www.woolworths.com.au/shop/productdetails/233996
Balsamic Vinegar,224075,Mazzetti Vinegar Balsamic Gold Label 4 Seal,Mazzetti,5.5,$2.20 / 100ML,250mL,https://cdn0.woolworths.media/content/wowproductimages/small/224075.jpg,https://www.woolworths.com.au/shop/productdetails/224075
Balsamic Vinegar,312737,Praise Dressings Balsamic,Praise,3,$0.91 / 100ML,330mL,https://cdn0.woolworths.media/content/wowproductimages/small/312737.jpg,https://www.woolworths.com.au/shop/productdetails/312737
Basil,133621,Woolworths Green Basil Bunch,Woolworths,3.3,$3.30 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/133621.jpg,https://www.woolworths.com.au/shop/productdetails/133621
Basil,707364,Woolworths Green Basil Punnet,Woolworths,3.3,$2.20 / 10G,15g,https://cdn0.woolworths.media/content/wowproductimages/small/707364.jpg,https://www.woolworths.com.au/shop/productdetails/707364
Basil,781401,Gourmet Garden Basil Lightly Dried Sachet,Gourmet Garden,4.2,$4.20 / 10G,10g,https://cdn0.woolworths.media/content/wowproductimages/small/781401.jpg,https://www.woolworths.com.au/shop/productdetails/781401
Basil,948505,Gourmet Garden Cold Blend Pastes Basil,Gourmet Garden,4.2,$0.53 / 10G,80g,https://cdn0.woolworths.media/content/wowproductimages/small/948505.jpg,https://www.woolworths.com.au/shop/productdetails/948505
Basil,707363,Woolworths Thai Basil Punnet,Woolworths,3.3,$2.20 / 10G,15g,https://cdn0.woolworths.media/content/wowproductimages/small/707363.jpg,https://www.woolworths.com.au/shop/productdetails/707363
Basil Leaves,133621,Woolworths Green Basil Bunch,Woolworths,3.3,$3.30 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/133621.jpg,https://www.woolworths.com.au/shop/productdetails/133621
Basil Leaves,707364,Woolworths Green Basil Punnet,Woolworths,3.3,$2.20 / 10G,15g,https://cdn0.woolworths.media/content/wowproductimages/small/707364.jpg,https://www.woolworths.com.au/shop/productdetails/707364
Basil Leaves,781401,Gourmet Garden Basil Lightly Dried Sachet,Gourmet Garden,4.2,$4.20 / 10G,10g,https://cdn0.woolworths.media/content/wowproductimages/small/781401.jpg,https://www.woolworths.com.au/shop/productdetails/781401
Basil Leaves,707363,Woolworths Thai Basil Punnet,Woolworths,3.3,$2.20 / 10G,15g,https://cdn0.woolworths.media/content/wowproductimages/small/707363.jpg,https://www.woolworths.com.au/shop/productdetails/707363
Basil Leaves,948505,Gourmet Garden Cold Blend Pastes Basil,Gourmet Garden,4.2,$0.53 / 10G,80g,https://cdn0.woolworths.media/content/wowproductimages/small/948505.jpg,https://www.woolworths.com.au/shop/productdetails/948505
Basmati Rice,311469,Sunrice Microwave Basmati Rice Pouch Indian Aromatic Basmati Rice,Sunrice,3.95,$0.88 / 100G,450g,https://cdn0.woolworths.media/content/wowproductimages/small/311469.jpg,https://www.woolworths.com.au/shop/productdetails/311469
Basmati Rice,371049,Sunrice Microwave Basmati Rice Cup 2 Quick Cups,Sunrice,2.1,$0.88 / 100G,120g x 2 pack,https://cdn0.woolworths.media/content/wowproductimages/small/371049.jpg,https://www.woolworths.com.au/shop/productdetails/371049
Basmati Rice,177521,Ben's Original Lightly Flavour Coconut Microwave Rice Pouch,Ben's Original,4,$1.60 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/177521.jpg,https://www.woolworths.com.au/shop/productdetails/177521
Basmati Rice,792456,Ben's Original Brown Red & Wild Rice Medley Microwave Pouch,Ben's Original,3.4,$1.36 / 100G,250g,https://cdn0.woolworths.media/content/wowproductimages/small/792456.jpg,https://www.woolworths.com.au/shop/productdetails/792456
